,Time,Chan1,Chan2,Trial,LED_State
76,76,,,0,0
528,528,,,0,0
888,888,,,0,0
1248,1248,,,0,0
1608,1608,,,0,0
1968,1968,5.0,0.0,0,0
2328,2328,5.0,0.0,0,0
2688,2688,5.0,0.0,0,0
3048,3048,5.0,0.0,0,0
3408,3408,5.0,0.0,0,0
3768,3768,5.0,0.0,0,0
4144,4144,5.0,0.0,0,0
4520,4520,5.0,0.0,0,0
4888,4888,5.0,0.0,0,0
5256,5256,5.0,0.0,0,0
5616,5616,5.0,0.0,0,0
5984,5984,5.0,0.0,0,0
6364,6364,5.0,0.0,0,0
6728,6728,5.0,0.0,0,0
7088,7088,5.0,0.0,0,0
7448,7448,2.0,0.0,0,0
7808,7808,2.0,0.0,0,0
8168,8168,5.0,0.0,0,0
8528,8528,5.0,0.0,0,0
8888,8888,5.0,0.0,0,0
9256,9256,5.0,0.0,0,0
9616,9616,5.0,0.0,0,0
9984,9984,5.0,0.0,0,0
10372,10372,5.0,0.0,0,0
10744,10744,5.0,0.0,0,0
11124,11124,5.0,0.0,0,0
11496,11496,5.0,0.0,0,0
11936,11936,5.0,0.0,0,0
12376,12376,5.0,0.0,0,0
12816,12816,5.0,0.0,0,0
13256,13256,2.0,0.0,0,0
13696,13696,2.0,0.0,0,0
14136,14136,2.0,0.0,0,0
14576,14576,4.0,0.0,0,0
15016,15016,4.0,0.0,0,0
15456,15456,4.0,0.0,0,0
15896,15896,5.0,0.0,0,0
16336,16336,5.0,0.0,0,0
16776,16776,5.0,0.0,0,0
17216,17216,5.0,0.0,0,0
17656,17656,5.0,0.0,0,0
18096,18096,5.0,0.0,0,0
18536,18536,5.0,0.0,0,0
18976,18976,5.0,0.0,0,0
19416,19416,5.0,0.0,0,0
19856,19856,5.0,0.0,0,0
20296,20296,3.0,0.0,0,0
20736,20736,3.0,2.0,0,0
21176,21176,3.0,2.0,0,0
21616,21616,2.0,6.0,0,0
22056,22056,2.0,6.0,0,0
22496,22496,1.0,6.0,0,0
22936,22936,1.0,6.0,0,0
23376,23376,0.0,6.0,0,0
23816,23816,0.0,6.0,0,0
24256,24256,0.0,6.0,0,0
24696,24696,0.0,6.0,0,0
25136,25136,0.0,6.0,0,0
25576,25576,0.0,6.0,0,0
26016,26016,0.0,6.0,0,0
26456,26456,0.0,6.0,0,0
26896,26896,0.0,6.0,0,0
27336,27336,0.0,6.0,0,0
27776,27776,0.0,6.0,0,0
28216,28216,0.0,6.0,0,0
28656,28656,0.0,6.0,0,0
29096,29096,0.0,6.0,0,0
29536,29536,0.0,6.0,0,0
29976,29976,0.0,2.0,0,0
30416,30416,0.0,2.0,0,0
30856,30856,0.0,2.0,0,0
31296,31296,0.0,2.0,0,0
31736,31736,0.0,2.0,0,0
32176,32176,0.0,2.0,0,0
32616,32616,0.0,2.0,0,0
33056,33056,0.0,2.0,0,0
33496,33496,0.0,2.0,0,0
33936,33936,0.0,2.0,0,0
34376,34376,0.0,2.0,0,0
34820,34820,0.0,2.0,0,0
35256,35256,0.0,4.0,0,0
35696,35696,0.0,4.0,0,0
36136,36136,0.0,4.0,0,0
36576,36576,0.0,6.0,0,0
37016,37016,0.0,6.0,0,0
37456,37456,0.0,6.0,0,0
37900,37900,0.0,6.0,0,0
38336,38336,0.0,6.0,0,0
38776,38776,0.0,6.0,0,0
39216,39216,0.0,6.0,0,0
39656,39656,0.0,6.0,0,0
40096,40096,0.0,6.0,0,0
40536,40536,0.0,6.0,0,0
40984,40984,0.0,2.0,0,0
41448,41448,0.0,2.0,1,1
41856,41856,0.0,2.0,1,1
42296,42296,0.0,6.0,1,1
42736,42736,0.0,6.0,1,1
43176,43176,0.0,6.0,1,1
43616,43616,0.0,6.0,1,1
44060,44060,0.0,6.0,1,1
44496,44496,0.0,6.0,1,1
44936,44936,0.0,6.0,1,1
45376,45376,0.0,6.0,1,1
45816,45816,0.0,6.0,1,1
46256,46256,0.0,6.0,1,1
46696,46696,0.0,6.0,1,1
47136,47136,0.0,6.0,1,1
47576,47576,0.0,6.0,1,1
48016,48016,0.0,6.0,1,1
48456,48456,0.0,6.0,1,1
48896,48896,0.0,6.0,1,1
49336,49336,0.0,6.0,1,1
49776,49776,0.0,6.0,1,1
50216,50216,0.0,6.0,1,1
50656,50656,0.0,6.0,1,1
51096,51096,0.0,6.0,1,1
51536,51536,0.0,6.0,1,1
51976,51976,0.0,6.0,1,1
52416,52416,0.0,6.0,1,1
52856,52856,0.0,6.0,1,1
53296,53296,0.0,6.0,1,1
53736,53736,0.0,6.0,1,1
54176,54176,0.0,6.0,1,1
54616,54616,0.0,6.0,1,1
55056,55056,0.0,6.0,1,1
55496,55496,0.0,6.0,1,1
55936,55936,0.0,6.0,1,1
56376,56376,0.0,6.0,1,1
56816,56816,0.0,6.0,1,1
57256,57256,0.0,6.0,1,1
57696,57696,0.0,2.0,1,1
58136,58136,0.0,2.0,1,1
58576,58576,0.0,2.0,1,1
59016,59016,0.0,2.0,1,1
59456,59456,0.0,2.0,1,1
59896,59896,0.0,2.0,1,1
60336,60336,0.0,2.0,1,1
60776,60776,0.0,2.0,1,1
61216,61216,0.0,2.0,1,1
61656,61656,0.0,2.0,1,1
62096,62096,0.0,2.0,1,1
62536,62536,0.0,2.0,1,1
62976,62976,0.0,2.0,1,1
63416,63416,0.0,2.0,1,1
63856,63856,0.0,2.0,1,1
64296,64296,0.0,6.0,1,1
64736,64736,0.0,6.0,1,1
65176,65176,0.0,6.0,1,1
65616,65616,0.0,6.0,1,1
66056,66056,0.0,6.0,1,1
66496,66496,0.0,6.0,1,1
66936,66936,0.0,6.0,1,1
67376,67376,0.0,6.0,1,1
67816,67816,0.0,6.0,1,1
68256,68256,0.0,6.0,1,1
68696,68696,0.0,2.0,1,1
69136,69136,0.0,2.0,1,1
69576,69576,2.0,2.0,1,1
70016,70016,2.0,2.0,1,1
70456,70456,2.0,2.0,1,1
70896,70896,2.0,2.0,1,1
71336,71336,4.0,0.0,1,1
71776,71776,4.0,0.0,1,1
72216,72216,4.0,0.0,1,1
72656,72656,4.0,0.0,1,1
73096,73096,4.0,0.0,1,1
73536,73536,4.0,0.0,1,1
73976,73976,4.0,0.0,1,1
74416,74416,4.0,0.0,1,1
74856,74856,4.0,0.0,1,1
75296,75296,4.0,0.0,1,1
75736,75736,2.0,0.0,1,1
76176,76176,2.0,0.0,1,1
76616,76616,2.0,0.0,1,1
77056,77056,6.0,0.0,1,1
77496,77496,6.0,0.0,1,1
77936,77936,6.0,0.0,1,1
78376,78376,6.0,0.0,1,1
78816,78816,6.0,0.0,1,1
79256,79256,6.0,0.0,1,1
79696,79696,6.0,0.0,1,1
80136,80136,6.0,0.0,1,1
80576,80576,6.0,0.0,1,1
81016,81016,6.0,0.0,1,1
81456,81456,6.0,0.0,1,1
81896,81896,6.0,0.0,1,1
82336,82336,6.0,0.0,1,1
82776,82776,6.0,0.0,1,1
83216,83216,6.0,0.0,1,1
83656,83656,6.0,0.0,1,1
84096,84096,6.0,0.0,1,1
84536,84536,6.0,0.0,1,1
84976,84976,6.0,0.0,1,1
85448,85448,6.0,0.0,2,0
85856,85856,6.0,0.0,2,0
86296,86296,6.0,0.0,2,0
86736,86736,6.0,0.0,2,0
87176,87176,6.0,0.0,2,0
87616,87616,6.0,0.0,2,0
88056,88056,6.0,0.0,2,0
88496,88496,6.0,0.0,2,0
88936,88936,6.0,0.0,2,0
89376,89376,6.0,0.0,2,0
89816,89816,6.0,0.0,2,0
90256,90256,6.0,0.0,2,0
90696,90696,6.0,0.0,2,0
91140,91140,6.0,0.0,2,0
91576,91576,6.0,0.0,2,0
92016,92016,6.0,0.0,2,0
92456,92456,2.0,0.0,2,0
92896,92896,2.0,0.0,2,0
93336,93336,2.0,0.0,2,0
93776,93776,6.0,0.0,2,0
94220,94220,6.0,0.0,2,0
94656,94656,6.0,0.0,2,0
95096,95096,6.0,0.0,2,0
95536,95536,6.0,0.0,2,0
95976,95976,6.0,0.0,2,0
96416,96416,6.0,0.0,2,0
96856,96856,6.0,0.0,2,0
97300,97300,6.0,0.0,2,0
97736,97736,6.0,0.0,2,0
98176,98176,3.0,0.0,2,0
98616,98616,3.0,0.0,2,0
99056,99056,3.0,0.0,2,0
99496,99496,2.0,0.0,2,0
99936,99936,2.0,0.0,2,0
100380,100380,2.0,0.0,2,0
100816,100816,2.0,0.0,2,0
101256,101256,2.0,0.0,2,0
101696,101696,2.0,0.0,2,0
102136,102136,2.0,0.0,2,0
102576,102576,2.0,0.0,2,0
103016,103016,2.0,0.0,2,0
103456,103456,2.0,0.0,2,0
103896,103896,2.0,0.0,2,0
104336,104336,2.0,2.0,2,0
104776,104776,2.0,6.0,2,0
105216,105216,2.0,6.0,2,0
105656,105656,2.0,6.0,2,0
106096,106096,0.0,6.0,2,0
106536,106536,0.0,6.0,2,0
106976,106976,0.0,6.0,2,0
107416,107416,0.0,6.0,2,0
107856,107856,0.0,6.0,2,0
108296,108296,0.0,6.0,2,0
108736,108736,0.0,6.0,2,0
109176,109176,0.0,6.0,2,0
109616,109616,0.0,6.0,2,0
110056,110056,0.0,6.0,2,0
110496,110496,0.0,6.0,2,0
110936,110936,0.0,6.0,2,0
111376,111376,0.0,6.0,2,0
111816,111816,0.0,6.0,2,0
112256,112256,0.0,6.0,2,0
112696,112696,0.0,6.0,2,0
113136,113136,0.0,6.0,2,0
113576,113576,0.0,6.0,2,0
114016,114016,0.0,6.0,2,0
114456,114456,0.0,6.0,2,0
114896,114896,0.0,6.0,2,0
115336,115336,0.0,6.0,2,0
115776,115776,0.0,6.0,2,0
116216,116216,0.0,6.0,2,0
116656,116656,0.0,6.0,2,0
117096,117096,0.0,6.0,2,0
117536,117536,0.0,6.0,2,0
117976,117976,0.0,6.0,2,0
118416,118416,0.0,6.0,2,0
118856,118856,0.0,6.0,2,0
119296,119296,0.0,6.0,2,0
119736,119736,0.0,6.0,2,0
120176,120176,0.0,2.0,2,0
120616,120616,0.0,2.0,2,0
121056,121056,0.0,2.0,2,0
121496,121496,0.0,2.0,2,0
121936,121936,0.0,2.0,2,0
122376,122376,0.0,2.0,2,0
122816,122816,0.0,2.0,2,0
123256,123256,0.0,2.0,2,0
123696,123696,0.0,2.0,2,0
