Time,Chan1,Chan2,Trial,LED_State
88,6,0,0,0
524,2,0,0,0
880,0,0,0,0
1240,0,0,0,0
1600,0,0,0,0
1960,0,0,0,0
2320,2,0,0,0
2680,0,0,0,0
3040,7,0,0,0
3400,2,0,0,0
3760,2,0,0,0
4136,2,0,0,0
4484,0,0,0,0
4844,0,0,0,0
5216,2,0,0,0
5564,0,0,0,0
5924,0,0,0,0
6284,0,0,0,0
6644,2,0,0,0
7004,6,0,0,0
7364,2,0,0,0
7724,0,0,0,0
8084,0,0,0,0
8444,0,0,0,0
8804,0,0,0,0
9164,0,0,0,0
9524,2,0,0,0
9884,5,0,0,0
10256,0,0,0,0
10620,0,0,0,0
11060,2,0,0,0
11500,0,0,0,0
11940,2,0,0,0
12380,0,0,0,0
12820,4,0,0,0
13260,1,0,0,0
13700,2,0,0,0
14140,1,0,0,0
14580,0,0,0,0
15020,0,0,0,0
15460,0,0,0,0
15900,0,0,0,0
16340,2,0,0,0
16780,0,0,0,0
17220,2,0,0,0
17660,2,0,0,0
18100,3,0,0,0
18540,2,0,0,0
18980,2,0,0,0
19420,0,0,0,0
19860,2,0,0,0
20300,2,0,0,0
20740,2,0,0,0
21180,0,0,0,0
21620,0,0,0,0
22060,0,0,0,0
22500,0,0,0,0
22940,0,1,0,0
23380,0,2,0,0
23820,0,7,0,0
24260,0,2,0,0
24700,0,2,0,0
25140,0,6,0,0
25580,0,0,0,0
26020,0,2,0,0
26460,0,6,0,0
26900,0,2,0,0
27340,0,2,0,0
27780,0,7,0,0
28220,0,2,0,0
28660,0,0,0,0
29100,0,0,0,0
29540,0,0,0,0
29980,0,2,0,0
30420,0,2,0,0
30860,0,6,0,0
31300,0,0,0,0
31740,0,2,0,0
32180,0,0,0,0
32620,0,2,0,0
33060,0,2,0,0
33500,0,6,0,0
33940,0,0,0,0
34380,0,2,0,0
34824,0,1,0,0
35260,0,0,0,0
35700,0,0,0,0
36140,0,0,0,0
36580,0,0,0,0
37020,0,2,0,0
37460,0,0,0,0
37904,0,1,0,0
38340,0,2,0,0
38780,0,0,0,0
39220,0,2,0,0
39660,0,2,0,0
40100,0,0,0,0
40540,0,2,0,0
40980,0,2,0,0
41560,0,7,1,1
41916,0,2,1,1
42300,0,0,1,1
42740,0,0,1,1
43180,0,0,1,1
43620,0,0,1,1
44060,0,3,1,1
44500,0,7,1,1
44940,0,2,1,1
45380,0,3,1,1
45820,0,7,1,1
46260,0,2,1,1
46700,0,3,1,1
47140,0,7,1,1
47580,0,2,1,1
48020,0,3,1,1
48460,0,0,1,1
48900,0,2,1,1
49340,0,0,1,1
49780,0,0,1,1
50220,0,0,1,1
50660,0,0,1,1
51100,0,3,1,1
51540,0,7,1,1
51980,0,2,1,1
52420,0,3,1,1
52860,0,7,1,1
53300,0,1,1,1
53740,0,3,1,1
54180,0,7,1,1
54620,0,2,1,1
55060,0,3,1,1
55500,0,7,1,1
55940,0,2,1,1
56380,0,0,1,1
56820,0,0,1,1
57260,0,0,1,1
57700,0,0,1,1
58140,2,0,1,1
58580,7,0,1,1
59020,2,0,1,1
59460,2,0,1,1
59900,0,0,1,1
60340,0,0,1,1
60780,2,0,1,1
61220,7,0,1,1
61660,2,0,1,1
62100,2,0,1,1
62540,7,0,1,1
62980,2,0,1,1
63420,0,0,1,1
63860,0,0,1,1
64300,0,0,1,1
64740,2,0,1,1
65180,0,0,1,1
65620,6,0,1,1
66060,0,0,1,1
66500,2,0,1,1
66940,0,0,1,1
67380,2,0,1,1
67820,0,0,1,1
68260,6,0,1,1
68700,0,0,1,1
69140,2,0,1,1
69580,6,0,1,1
70020,0,0,1,1
70460,0,0,1,1
70900,0,0,1,1
71340,0,0,1,1
71780,2,0,1,1
72220,0,0,1,1
72660,0,0,1,1
73100,2,0,1,1
73540,0,0,1,1
73980,2,0,1,1
74420,2,0,1,1
74860,0,0,1,1
75300,0,0,1,1
75740,2,0,1,1
76180,2,0,1,1
76620,1,0,1,1
77060,0,0,1,1
77500,0,0,1,1
77940,0,0,1,1
78380,0,0,1,1
78820,2,0,1,1
79260,6,0,1,1
79700,2,0,1,1
80140,2,0,1,1
80580,7,0,1,1
81020,1,0,1,1
81460,2,0,1,1
81900,6,0,1,1
82340,2,0,1,1
82780,2,0,1,1
83220,0,0,1,1
83660,2,0,1,1
84100,0,0,1,1
84540,0,0,1,1
84980,0,0,1,1
85420,0,0,1,1
85860,2,0,1,1
86300,7,0,1,1
86740,2,0,1,1
87180,2,0,1,1
87620,0,0,1,1
88212,2,0,2,0
88564,2,0,2,0
88940,7,0,2,0
89380,2,0,2,0
89820,2,0,2,0
