Time,Chan1,Chan2,Trial,LED_State
182860,0,0,1,1
399688,0,0,2,0
492532,6,0,3,1
572404,0,0,4,0
806196,6,0,5,1
871076,0,0,6,0
1022908,0,0,7,1
1208644,0,2,8,0
1338492,2,0,9,1
1449424,0,0,10,0
1554208,0,0,11,1
1613140,0,0,12,0
1697104,0,0,13,1
1946744,0,0,14,0
2143548,0,0,15,1
2220432,0,2,16,0
2396236,0,0,17,1
2528080,0,0,18,0
2693836,0,0,19,1
2892584,0,2,20,0
3048396,0,0,21,1
3249184,0,0,22,0
3478904,0,0,23,1
3596788,0,0,24,0
3839448,0,0,25,1
4014264,0,2,26,0
4140096,0,0,27,1
4311872,0,0,28,0
4427800,0,0,29,1
4607532,0,2,30,0
4690460,2,0,31,1
4936124,0,0,32,0
5082928,6,0,33,1
5332672,0,2,34,0
5553388,0,0,35,1
5709264,0,2,36,0
5834056,2,0,37,1
5946880,0,0,38,0
6118732,0,0,39,1
6295432,0,0,40,0
6440304,0,0,41,1
6626132,0,17,42,0
6800908,0,17,43,1
7004660,0,2,44,0
7186408,2,0,45,1
7289228,0,2,46,0
7538988,2,0,47,1
7657868,0,2,48,0
7832664,2,0,49,1
8009356,0,0,50,0
8121228,0,0,51,1
8181208,0,0,52,0
8277072,0,0,53,1
8427836,0,2,54,0
8627572,0,0,55,1
8851340,0,0,56,0
9078048,0,0,57,1
9284800,0,0,58,0
9525556,2,0,59,1
9729380,0,2,60,0
9906056,0,0,61,1
9985964,0,2,62,0
10142760,17,17,63,1
10210684,0,1,64,0
10312632,0,0,65,1
10371632,17,17,66,0
10508428,0,0,67,1
10629276,0,0,68,0
10725100,2,0,69,1
10920908,0,17,70,0
11035708,2,0,71,1
11127584,0,0,72,0
11322440,2,0,73,1
11409312,0,5,74,0
11624976,0,0,75,1
11744812,0,0,76,0
11797736,0,0,77,1
11947664,0,0,78,0
12141336,0,0,79,1
12226192,0,2,80,0
12345060,2,0,81,1
12495912,0,0,82,0
12704692,2,0,83,1
12898448,0,0,84,0
13130212,0,0,85,1
13266960,0,6,86,0
13376852,0,0,87,1
13581576,0,4,88,0
13686496,2,0,89,1
13813360,17,17,90,0
13906308,4,0,91,1
14116928,0,0,92,0
14251780,0,0,93,1
14339680,0,0,94,0
14469600,6,0,95,1
14618380,0,0,96,0
14819096,0,0,97,1
15063812,0,2,98,0
15196580,0,0,99,1
15355560,0,2,100,0
15425424,0,0,101,1
15609204,0,0,102,0
15838928,0,0,103,1
16039644,0,17,104,0
16140464,2,0,105,1
16347248,0,2,106,0
16429120,2,0,107,1
16610860,0,2,108,0
16728752,2,0,109,1
16817612,0,2,110,0
16912532,1,0,111,1
17021524,0,2,112,0
17111368,0,0,113,1
17191272,0,0,114,0
17361004,0,0,115,1
17579768,17,0,116,0
17824492,0,0,117,1
17893352,0,0,118,0
18130024,2,0,119,1
18275864,0,6,120,0
18509608,0,0,121,1
18618452,0,6,122,0
18717436,0,0,123,1
