,Time,Chan1,Chan2,Trial,LED_State
0,192,2,0,0,0
1,752,5,0,0,0
2,1232,2,0,0,0
3,1696,2,0,0,0
4,2176,6,0,0,0
5,2648,0,0,0,0
6,3128,0,0,0,0
7,3592,0,0,0,0
8,4064,0,0,0,0
9,4536,2,0,0,0
10,5012,0,0,0,0
11,5488,2,0,0,0
12,5960,2,0,0,0
13,6432,6,0,0,0
14,6904,2,0,0,0
15,7384,2,0,0,0
16,7848,6,0,0,0
17,8328,0,0,0,0
18,8792,2,0,0,0
19,9272,0,0,0,0
20,9736,0,0,0,0
21,10208,0,0,0,0
22,10680,0,0,0,0
23,11152,0,0,0,0
24,11636,2,0,0,0
25,12108,6,0,0,0
26,12576,2,0,0,0
27,13048,2,0,0,0
28,13528,6,0,0,0
29,14000,2,0,0,0
30,14480,2,0,0,0
31,14952,0,0,0,0
32,15432,2,0,0,0
33,15896,0,0,0,0
34,16368,1,0,0,0
35,16840,0,0,0,0
36,17312,0,0,0,0
37,17784,0,0,0,0
38,18256,0,2,0,0
39,18728,0,0,0,0
40,19204,0,2,0,0
41,19680,0,2,0,0
42,20152,0,7,0,0
43,20632,0,2,0,0
44,21100,0,2,0,0
45,21576,0,6,0,0
46,22040,0,2,0,0
47,22512,0,2,0,0
48,22988,0,6,0,0
49,23460,0,0,0,0
50,23932,0,0,0,0
51,24400,0,0,0,0
52,24872,0,0,0,0
53,25344,0,2,0,0
54,25824,0,7,0,0
55,26296,0,2,0,0
56,26776,0,2,0,0
57,27240,0,7,0,0
58,27720,0,0,0,0
59,28184,0,2,0,0
60,28660,0,2,0,0
61,29132,0,2,0,0
62,29600,0,2,0,0
63,30072,0,0,0,0
64,30544,0,0,0,0
65,31016,0,0,0,0
66,31488,0,0,0,0
67,31968,0,2,0,0
68,32440,0,2,0,0
69,32920,0,6,0,0
70,33384,0,0,0,0
71,33864,0,1,0,0
72,34328,0,2,0,0
73,34800,0,2,0,0
74,35276,0,0,0,0
75,35744,0,2,0,0
76,36216,0,2,0,0
77,36688,0,4,0,0
78,37160,0,2,0,0
79,37632,0,0,0,0
80,38112,0,0,0,0
81,38584,0,0,0,0
82,39064,0,2,0,0
83,39528,0,0,0,0
84,40008,0,2,0,0
85,40472,0,2,0,0
86,40944,0,7,0,0
87,41416,0,2,0,0
88,41888,0,2,0,0
89,42360,0,6,0,0
90,42832,0,2,0,0
91,43304,0,2,0,0
92,43776,0,6,0,0
93,44256,0,0,0,0
94,44728,0,0,0,0
95,45208,0,0,0,0
96,45672,0,0,0,0
97,46152,0,2,0,0
98,46620,0,7,0,0
99,47092,0,2,0,0
100,47560,0,2,0,0
101,48032,0,6,0,0
102,48504,0,0,0,0
103,48976,0,2,0,0
104,49448,0,6,0,0
105,49920,0,2,0,0
106,50400,0,2,0,0
107,50872,0,0,0,0
108,51352,0,0,0,0
109,51816,0,0,0,0
110,52296,0,0,0,0
111,52764,0,1,0,0
112,53232,0,2,0,0
113,53704,0,6,0,0
114,54176,0,0,0,0
115,54648,0,2,0,0
116,55120,0,2,0,0
117,55596,0,2,0,0
118,56064,0,0,0,0
119,56544,0,2,0,0
120,57016,0,2,0,0
121,57496,0,4,0,0
122,57960,0,2,0,0
123,58440,0,0,0,0
124,58904,0,0,0,0
125,59380,0,0,0,0
126,59848,0,2,0,0
127,60320,0,1,0,0
128,60792,0,2,0,0
129,61264,0,2,0,0
130,61736,0,7,0,0
131,62212,0,2,0,0
132,62688,0,2,0,0
133,63160,0,6,0,0
134,63640,0,2,0,0
135,64104,0,2,0,0
136,64584,0,6,0,0
137,65048,0,0,0,0
138,65520,0,0,0,0
139,65992,0,0,0,0
140,66464,0,0,0,0
141,66936,0,2,0,0
142,67412,0,7,0,0
143,67880,0,2,0,0
144,68352,0,2,0,0
145,68832,0,6,0,0
146,69304,0,0,0,0
147,69784,0,2,0,0
148,70248,0,6,0,0
149,70728,0,2,0,0
150,71192,0,2,0,0
151,71668,0,0,0,0
152,72136,0,0,0,0
153,72608,0,0,0,0
154,73084,0,0,0,0
155,73552,0,0,0,0
156,74024,0,2,0,0
157,74496,0,6,0,0
158,74976,0,0,0,0
159,75452,0,2,0,0
160,75928,0,2,0,0
161,76392,0,2,0,0
162,76872,0,0,0,0
163,77340,0,2,0,0
164,77808,0,2,0,0
165,78280,0,0,0,0
166,78756,0,2,0,0
167,79224,0,0,0,0
168,79696,0,0,0,0
169,80168,0,0,0,0
170,80640,0,2,0,0
171,81120,0,2,0,0
172,81592,0,2,0,0
173,82072,0,2,0,0
174,82536,0,7,0,0
175,83016,0,2,0,0
176,83484,0,2,0,0
177,83952,0,6,0,0
178,84424,0,2,0,0
179,84896,0,2,0,0
180,85368,0,6,0,0
181,85844,0,0,0,0
182,86316,0,0,0,0
183,86788,0,0,0,0
184,87264,0,0,0,0
185,87736,0,2,0,0
186,88216,0,7,0,0
187,88680,0,2,0,0
188,89160,0,2,0,0
189,89628,0,6,0,0
190,90096,0,0,0,0
191,90568,0,2,0,0
192,91040,0,6,0,0
193,91512,0,2,0,0
194,91984,0,2,0,0
195,92456,0,0,0,0
196,92928,0,0,0,0
197,93408,0,0,0,0
198,93884,0,0,0,0
199,94360,0,0,0,0
200,94824,0,2,0,0
201,95304,0,6,0,0
202,95768,0,0,0,0
203,96240,0,2,0,0
204,96716,0,1,0,0
205,97188,0,2,0,0
206,97656,0,0,0,0
207,98128,0,2,0,0
208,98600,0,2,0,0
209,99072,0,0,0,0
210,99552,0,2,0,0
211,100028,0,0,0,0
212,100504,0,0,0,0
213,100968,0,0,0,0
214,101448,0,2,0,0
215,101912,0,2,0,0
216,102388,0,1,0,0
217,102856,0,2,0,0
218,103328,0,7,0,0
219,103800,0,2,0,0
220,104272,0,2,0,0
221,104744,0,7,0,0
222,105220,0,2,0,0
223,105696,0,2,0,0
224,106168,0,6,0,0
225,106648,0,0,0,0
226,107112,0,0,0,0
227,107592,0,0,0,0
228,108056,0,0,0,0
229,108528,0,2,0,0
230,109004,0,7,0,0
231,109472,0,2,0,0
232,109948,0,2,0,0
233,110416,0,7,0,0
234,110888,0,0,0,0
235,111360,0,2,0,0
236,111840,0,6,0,0
237,112312,0,1,0,0
238,112792,0,2,0,0
239,113256,0,0,0,0
240,113736,0,0,0,0
241,114200,0,0,0,0
