,Time,Chan1,Chan2,Trial,LED_State
76,76,0,0,0,0
528,528,0,0,0,0
888,888,0,0,0,0
1248,1248,0,2,0,0
1608,1608,0,0,0,0
1968,1968,0,1,0,0
2328,2328,0,2,0,0
2688,2688,0,2,0,0
3048,3048,0,6,0,0
3408,3408,0,2,0,0
3768,3768,0,2,0,0
4136,4136,0,2,0,0
4496,4496,0,6,0,0
4856,4856,0,2,0,0
5224,5224,0,2,0,0
5600,5600,0,2,0,0
5968,5968,0,0,0,0
6328,6328,0,0,0,0
6688,6688,0,0,0,0
7048,7048,0,0,0,0
7416,7416,0,0,0,0
7776,7776,0,0,0,0
8136,8136,0,2,0,0
8496,8496,0,2,0,0
8856,8856,0,6,0,0
9224,9224,0,2,0,0
9600,9600,0,2,0,0
9968,9968,0,6,0,0
10336,10336,0,2,0,0
10696,10696,0,2,0,0
11056,11056,0,2,0,0
11496,11496,0,6,0,0
11936,11936,0,0,0,0
12376,12376,0,2,0,0
12816,12816,0,6,0,0
13256,13256,0,0,0,0
13696,13696,0,0,0,0
14136,14136,0,0,0,0
14576,14576,0,0,0,0
15016,15016,0,2,0,0
15456,15456,0,0,0,0
15896,15896,0,0,0,0
16336,16336,0,2,0,0
16776,16776,0,0,0,0
17216,17216,0,2,0,0
17656,17656,0,2,0,0
18096,18096,0,0,0,0
18536,18536,0,1,0,0
18976,18976,0,2,0,0
19416,19416,0,2,0,0
19856,19856,0,0,0,0
20296,20296,0,0,0,0
20736,20736,0,0,0,0
21176,21176,0,0,0,0
21616,21616,0,0,0,0
22056,22056,0,2,0,0
22496,22496,0,6,0,0
22936,22936,0,2,0,0
23376,23376,0,2,0,0
23816,23816,0,6,0,0
24256,24256,0,2,0,0
24696,24696,0,2,0,0
25136,25136,0,6,0,0
25576,25576,0,2,0,0
26016,26016,0,2,0,0
26456,26456,0,0,0,0
26896,26896,0,2,0,0
27336,27336,0,0,0,0
27776,27776,0,0,0,0
28216,28216,0,0,0,0
28656,28656,0,0,0,0
29096,29096,0,2,0,0
29536,29536,0,6,0,0
29976,29976,0,2,0,0
30416,30416,0,2,0,0
30856,30856,0,6,0,0
31296,31296,0,2,0,0
31736,31736,0,2,0,0
32176,32176,0,6,0,0
32616,32616,0,2,0,0
33056,33056,0,2,0,0
33496,33496,0,6,0,0
33936,33936,0,2,0,0
34376,34376,0,0,0,0
34820,34820,0,0,0,0
35256,35256,0,0,0,0
35696,35696,0,2,0,0
36136,36136,0,2,0,0
36576,36576,0,6,0,0
37016,37016,0,1,0,0
37456,37456,0,2,0,0
37900,37900,0,0,0,0
38336,38336,0,1,0,0
38776,38776,0,2,0,0
39216,39216,0,6,0,0
39656,39656,0,0,0,0
40096,40096,0,2,0,0
40536,40536,0,6,0,0
40980,40980,0,0,0,0
41452,41452,0,0,1,1
41856,41856,0,0,1,1
42296,42296,0,0,1,1
42736,42736,0,2,1,1
43176,43176,0,2,1,1
43616,43616,0,0,1,1
44060,44060,0,2,1,1
44496,44496,0,0,1,1
44936,44936,0,2,1,1
45376,45376,0,2,1,1
45816,45816,0,2,1,1
46256,46256,0,0,1,1
46696,46696,0,2,1,1
47136,47136,0,2,1,1
47576,47576,0,1,1,1
48016,48016,0,0,1,1
48456,48456,0,0,1,1
48896,48896,0,0,1,1
49336,49336,0,0,1,1
49776,49776,0,2,1,1
50216,50216,0,6,1,1
50656,50656,0,2,1,1
51096,51096,0,2,1,1
51536,51536,0,6,1,1
51976,51976,0,2,1,1
52416,52416,0,2,1,1
52856,52856,0,6,1,1
53296,53296,0,2,1,1
53736,53736,0,2,1,1
54176,54176,0,0,1,1
54616,54616,0,2,1,1
55056,55056,0,0,1,1
55496,55496,0,0,1,1
55936,55936,0,0,1,1
56376,56376,0,0,1,1
56816,56816,0,2,1,1
57256,57256,0,6,1,1
57696,57696,0,2,1,1
58136,58136,0,2,1,1
58576,58576,0,6,1,1
59016,59016,0,2,1,1
59456,59456,0,2,1,1
59896,59896,0,6,1,1
