Time,Chan1,Chan2,Trial,LED_State
104,0,6,0,0
552,0,2,0,0
912,0,2,0,0
1280,0,6,0,0
1640,0,2,0,0
2000,0,2,0,0
2360,0,2,0,0
2720,0,7,0,0
3088,0,2,0,0
3464,0,2,0,0
3832,0,2,0,0
4200,0,6,0,0
4560,0,2,0,0
4920,0,0,0,0
5280,0,0,0,0
5640,0,0,0,0
6000,0,0,0,0
6360,0,2,0,0
6720,0,2,0,0
7080,0,6,0,0
7440,0,2,0,0
7800,0,2,0,0
8160,0,0,0,0
8520,0,0,0,0
8880,0,0,0,0
9248,0,2,0,0
9624,0,7,0,0
9992,0,2,0,0
10360,0,2,0,0
10720,0,2,0,0
11080,0,6,0,0
11520,0,0,0,0
11960,0,0,0,0
12400,0,0,0,0
12840,0,0,0,0
13280,0,2,0,0
13720,0,2,0,0
14160,0,3,0,0
14600,0,0,0,0
15040,0,2,0,0
15480,0,0,0,0
15920,0,2,0,0
16360,0,2,0,0
16800,0,1,0,0
17240,0,2,0,0
17680,0,2,0,0
18120,0,0,0,0
18560,0,0,0,0
19000,0,0,0,0
19440,0,0,0,0
19880,0,0,0,0
20320,0,2,0,0
20760,0,0,0,0
21200,0,2,0,0
21640,0,2,0,0
22080,0,6,0,0
22520,0,2,0,0
22960,0,2,0,0
23400,0,0,0,0
23840,0,2,0,0
24280,0,2,0,0
24720,0,2,0,0
25160,0,0,0,0
25608,0,0,0,0
26040,0,0,0,0
26480,0,0,0,0
26920,0,0,0,0
27360,0,2,0,0
27800,0,7,0,0
28240,0,2,0,0
28688,0,2,0,0
29120,0,7,0,0
29560,0,2,0,0
30000,0,2,0,0
30440,0,7,0,0
30880,0,2,0,0
31320,0,2,0,0
31768,0,6,0,0
32200,0,2,0,0
32640,0,0,0,0
33080,0,0,0,0
33520,0,0,0,0
33960,0,1,0,0
34400,0,2,0,0
34848,0,6,0,0
35280,0,2,0,0
35720,0,2,0,0
36160,0,6,0,0
36600,0,0,0,0
37040,0,2,0,0
37480,0,6,0,0
37920,0,2,0,0
38360,0,2,0,0
38800,0,7,0,0
39240,0,2,0,0
39680,0,0,0,0
40120,0,0,0,0
40560,0,0,0,0
41000,0,2,0,0
41476,0,3,1,1
41880,0,7,1,1
42320,0,0,1,1
42760,0,3,1,1
43200,0,0,1,1
43640,0,3,1,1
44080,0,3,1,1
44520,0,7,1,1
44960,0,1,1,1
45400,0,3,1,1
45840,0,1,1,1
46280,0,0,1,1
46720,0,0,1,1
47160,0,0,1,1
47600,0,0,1,1
48040,0,3,1,1
48480,0,0,1,1
48920,0,2,1,1
49360,0,3,1,1
49800,0,2,1,1
50240,0,2,1,1
50680,0,3,1,1
51120,0,0,1,1
51560,0,2,1,1
52000,0,3,1,1
52440,0,3,1,1
52880,0,0,1,1
53320,0,0,1,1
53760,0,0,1,1
54200,0,0,1,1
54640,0,0,1,1
55080,0,3,1,1
55520,0,7,1,1
55960,0,2,1,1
56400,0,3,1,1
56840,0,7,1,1
57280,0,2,1,1
57720,0,3,1,1
58160,0,7,1,1
58600,0,2,1,1
59040,0,3,1,1
59480,0,0,1,1
59920,0,2,1,1
60360,0,0,1,1
60800,0,0,1,1
61240,0,0,1,1
61680,0,0,1,1
62120,2,0,1,1
62560,6,0,1,1
63000,2,0,1,1
63440,2,0,1,1
63880,6,0,1,1
64320,2,0,1,1
64760,2,0,1,1
65200,6,0,1,1
65640,2,0,1,1
66080,2,0,1,1
66520,0,0,1,1
66960,2,0,1,1
67400,0,0,1,1
67840,0,0,1,1
68280,0,0,1,1
68720,0,0,1,1
