Time,Chan1,Chan2,Trial,LED_State
192,2,0,0,0
760,4,0,0,0
1240,2,0,0,0
1712,2,0,0,0
2192,6,0,0,0
2660,2,0,0,0
3136,2,0,0,0
3600,6,0,0,0
4072,0,0,0,0
4544,2,0,0,0
5020,0,0,0,0
5488,0,0,0,0
5960,0,0,0,0
6432,0,0,0,0
6904,0,0,0,0
7384,2,0,0,0
7848,6,0,0,0
8328,2,0,0,0
8800,2,0,0,0
9280,0,0,0,0
9744,2,0,0,0
10216,2,0,0,0
10688,0,0,0,0
11160,2,0,0,0
11636,0,0,0,0
12108,2,0,0,0
12576,0,0,0,0
13048,0,0,0,0
13528,0,0,0,0
13992,2,0,0,0
14472,2,0,0,0
14948,0,0,0,0
15424,2,0,0,0
15888,0,0,0,0
16360,2,0,0,0
16832,2,0,0,0
17304,6,0,0,0
17780,2,0,0,0
18252,2,0,0,0
18720,6,0,0,0
19196,0,0,0,0
19672,0,0,0,0
20136,0,0,0,0
20616,0,0,0,0
21084,2,0,0,0
21568,4,0,0,0
22032,2,0,0,0
22508,2,0,0,0
22976,6,0,0,0
23448,2,0,0,0
23924,2,0,0,0
24392,6,0,0,0
24868,0,0,0,0
25336,2,0,0,0
25816,0,0,0,0
26280,0,0,0,0
26760,0,0,0,0
27224,0,0,0,0
27704,0,2,0,0
28168,0,2,0,0
28644,0,6,0,0
29112,0,0,0,0
29584,0,0,0,0
30064,0,2,0,0
30536,0,2,0,0
31008,0,0,0,0
31480,0,2,0,0
31960,0,2,0,0
32424,0,6,0,0
32904,0,2,0,0
33368,0,0,0,0
33848,0,0,0,0
34312,0,0,0,0
34784,0,2,0,0
35260,0,0,0,0
35728,0,2,0,0
36212,0,2,0,0
36680,0,7,0,0
37152,0,2,0,0
37628,0,2,0,0
38104,0,6,0,0
38568,0,2,0,0
39048,0,2,0,0
39512,0,6,0,0
39992,0,0,0,0
40456,0,0,0,0
40932,0,0,0,0
41404,0,0,0,0
41872,0,2,0,0
42352,0,7,0,0
42824,0,2,0,0
43296,0,2,0,0
43768,0,6,0,0
44248,0,0,0,0
44712,0,2,0,0
45192,0,1,0,0
45656,0,2,0,0
46136,0,2,0,0
46604,0,0,0,0
47072,0,0,0,0
47544,0,0,0,0
48016,0,0,0,0
48500,0,2,0,0
48972,0,2,0,0
49444,0,6,0,0
49912,0,0,0,0
50392,0,1,0,0
50856,0,2,0,0
51336,0,2,0,0
51800,0,0,0,0
52280,0,2,0,0
52748,0,2,0,0
53216,0,5,0,0
53688,0,2,0,0
54160,0,0,0,0
54640,0,0,0,0
55112,0,0,0,0
55584,0,2,0,0
56060,0,0,0,0
56536,0,2,0,0
57000,0,2,0,0
57480,0,7,0,0
57944,0,2,0,0
58424,0,2,0,0
58888,0,6,0,0
59364,0,2,0,0
59832,0,2,0,0
60308,0,6,0,0
60784,0,0,0,0
61256,0,0,0,0
61728,0,0,0,0
62200,0,0,0,0
62680,0,2,0,0
63148,0,7,0,0
63624,0,2,0,0
64088,0,2,0,0
64568,0,6,0,0
65036,0,0,0,0
65504,0,2,0,0
65976,0,6,0,0
66452,0,2,0,0
66928,0,2,0,0
67404,0,0,0,0
67872,0,0,0,0
68344,0,0,0,0
68824,0,0,0,0
69288,0,1,0,0
69768,0,2,0,0
70232,0,7,0,0
70712,0,0,0,0
71176,0,2,0,0
71652,0,2,0,0
72120,0,2,0,0
72592,0,0,0,0
73072,0,2,0,0
73548,0,2,0,0
74016,0,3,0,0
74488,0,2,0,0
74968,0,0,0,0
75432,0,0,0,0
75912,0,0,0,0
