Time,Chan1,Chan2,Trial,LED_State
192,0,2,0,0
752,0,0,0,0
1232,0,0,0,0
1696,0,0,0,0
2176,0,2,0,0
2644,0,2,0,0
3120,0,0,0,0
3584,0,2,0,0
4056,0,6,0,0
4528,0,2,0,0
5004,0,2,0,0
5480,0,7,0,0
5952,0,2,0,0
6424,0,2,0,0
6896,0,6,0,0
7376,0,0,0,0
7840,0,0,0,0
8320,0,0,0,0
8784,0,0,0,0
9264,0,2,0,0
9728,0,7,0,0
10200,0,2,0,0
10672,0,2,0,0
11144,0,6,0,0
11628,0,0,0,0
12100,0,2,0,0
12568,0,6,0,0
13040,0,0,0,0
13520,0,2,0,0
13984,0,0,0,0
14464,0,0,0,0
14932,0,0,0,0
15408,0,0,0,0
15872,0,0,0,0
16344,0,2,0,0
16816,0,7,0,0
17288,0,2,0,0
17772,0,2,0,0
18244,0,0,0,0
18712,0,2,0,0
19188,0,2,0,0
19664,0,2,0,0
20128,0,2,0,0
20608,0,1,0,0
21076,0,2,0,0
21552,0,0,0,0
22016,0,0,0,0
22492,0,0,0,0
22960,0,2,0,0
23432,0,2,0,0
23916,0,0,0,0
24384,0,2,0,0
24860,0,6,0,0
25328,0,2,0,0
25808,0,2,0,0
26272,0,7,0,0
26752,0,2,0,0
27220,0,2,0,0
27696,0,7,0,0
28160,0,2,0,0
28636,0,0,0,0
29104,0,0,0,0
29576,0,0,0,0
30056,0,2,0,0
30528,0,6,0,0
31000,0,2,0,0
31472,0,2,0,0
31952,0,6,0,0
32416,0,2,0,0
32896,0,2,0,0
33360,0,6,0,0
33840,0,0,0,0
34304,0,2,0,0
34776,0,0,0,0
35252,0,0,0,0
35720,0,0,0,0
36204,0,0,0,0
36672,0,0,0,0
37144,0,2,0,0
37620,0,6,0,0
38096,0,2,0,0
38560,0,2,0,0
39040,0,0,0,0
39504,0,2,0,0
39984,0,2,0,0
40448,0,1,0,0
40924,0,2,0,0
41396,0,2,0,0
41864,0,2,0,0
42344,0,0,0,0
42816,0,0,0,0
43288,0,0,0,0
43760,0,2,0,0
44240,0,2,0,0
44704,0,0,0,0
45184,0,2,0,0
45652,0,2,0,0
46128,0,2,0,0
