Time,Chan1,Chan2,Trial,LED_State
192,6,0,0,0
760,0,0,0,0
1240,0,0,0,0
1704,0,0,0,0
2184,0,0,0,0
2648,2,0,0,0
3128,2,0,0,0
3600,2,0,0,0
4072,2,0,0,0
4544,6,0,0,0
5020,2,0,0,0
5488,2,0,0,0
5960,6,0,0,0
6432,1,0,0,0
6904,2,0,0,0
7384,0,0,0,0
7852,0,0,0,0
8328,0,0,0,0
8792,0,0,0,0
9272,0,0,0,0
9736,2,0,0,0
10208,6,0,0,0
10680,2,0,0,0
11152,2,0,0,0
11636,1,0,0,0
12108,2,0,0,0
12576,2,0,0,0
13048,0,0,0,0
13528,2,0,0,0
13992,0,0,0,0
14472,2,0,0,0
14940,0,0,0,0
15416,0,0,0,0
15880,0,0,0,0
16352,2,0,0,0
16824,2,0,0,0
17296,0,0,0,0
17780,2,0,0,0
18252,0,0,0,0
18720,2,0,0,0
19196,2,0,0,0
19672,6,0,0,0
20144,2,0,0,0
20624,2,0,0,0
21092,6,0,0,0
21576,0,0,0,0
22040,0,0,0,0
22516,0,0,0,0
22984,0,0,0,0
23456,0,2,0,0
23932,0,7,0,0
24400,0,2,0,0
24876,0,2,0,0
25344,0,6,0,0
25824,0,2,0,0
26296,0,2,0,0
26776,0,0,0,0
27240,0,2,0,0
27720,0,2,0,0
28184,0,0,0,0
28656,0,0,0,0
29128,0,0,0,0
29600,0,0,0,0
30072,0,2,0,0
30544,0,2,0,0
31016,0,6,0,0
31488,0,0,0,0
31968,0,0,0,0
32440,0,2,0,0
32920,0,2,0,0
33384,0,4,0,0
33864,0,2,0,0
34328,0,2,0,0
34800,0,6,0,0
35276,0,2,0,0
35744,0,0,0,0
36220,0,0,0,0
36688,0,0,0,0
37160,0,2,0,0
37636,0,0,0,0
38112,0,2,0,0
38584,0,2,0,0
39064,0,6,0,0
39528,0,2,0,0
40008,0,2,0,0
40472,0,6,0,0
40948,0,2,0,0
41420,0,2,0,0
41888,0,6,0,0
42360,0,0,0,0
42832,0,0,0,0
43304,0,0,0,0
43776,0,0,0,0
44256,0,2,0,0
44728,0,7,0,0
45208,0,2,0,0
45672,0,2,0,0
46152,0,6,0,0
46620,0,0,0,0
47088,0,2,0,0
47560,0,1,0,0
48032,0,2,0,0
48508,0,2,0,0
48980,0,0,0,0
49452,0,0,0,0
49920,0,0,0,0
50400,0,0,0,0
50872,0,2,0,0
51352,0,2,0,0
51816,0,6,0,0
52296,0,0,0,0
52764,0,0,0,0
53232,0,2,0,0
53704,0,2,0,0
54176,0,0,0,0
54648,0,2,0,0
55120,0,2,0,0
55596,0,5,0,0
56068,0,2,0,0
56544,0,0,0,0
57016,0,0,0,0
57496,0,0,0,0
57960,0,2,0,0
58440,0,0,0,0
58904,0,2,0,0
59376,0,2,0,0
59848,0,6,0,0
60324,0,2,0,0
60792,0,2,0,0
61264,0,6,0,0
61736,0,2,0,0
62212,0,2,0,0
62688,0,6,0,0
63164,0,0,0,0
63640,0,0,0,0
64104,0,0,0,0
64584,0,0,0,0
65048,0,2,0,0
65520,0,7,0,0
65992,0,2,0,0
66464,0,2,0,0
66936,0,6,0,0
67412,0,0,0,0
67880,0,2,0,0
68352,0,6,0,0
68832,0,2,0,0
69304,0,2,0,0
69784,0,0,0,0
70248,0,0,0,0
70728,0,0,0,0
71192,0,0,0,0
71668,0,2,0,0
72136,0,2,0,0
72608,0,6,0,0
73080,0,0,0,0
73556,0,2,0,0
74024,0,2,0,0
74496,0,2,0,0
